img,bank,card_name,card_type,required_income,required_applicant,cashback_rate,cashback_cap,cashback_benchmark,cashback_category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,mastercard,3000.0,Anybody,10.0,10,from RM800 and above monthly,food delivery with foodpanda & delivereat,800.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,mastercard,3000.0,Anybody,0.2,10000000000,up to RM499 monthly,petrol,0.0,499.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,mastercard,3000.0,Anybody,0.2,10000000000,up to RM499 monthly,groceries,0.0,499.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,mastercard,3000.0,Anybody,0.2,10000000000,up to RM499 monthly,dining,0.0,499.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,mastercard,3000.0,Anybody,0.2,10000000000,up to RM499 monthly,grab,0.0,499.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a000087/citi-cash-back-mastercard.jpg,citibank,citi_cash_back_mastercard,mastercard,3000.0,Anybody,0.2,10000000000,any amount monthly,other retail spends,0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,mastercard,5000.0,Anybody,10.0,15,"from RM1,500 and above monthly",food delivery with foodpanda & delivereat,1500.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,mastercard,5000.0,Anybody,0.2,10000000000,"from RM1 up to RM1,499 monthly",petrol,1.0,1499.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,mastercard,5000.0,Anybody,0.2,10000000000,"from RM1 up to RM1,499 monthly",groceries,1.0,1499.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,mastercard,5000.0,Anybody,0.2,10000000000,"from RM1 up to RM1,499 monthly",dining,1.0,1499.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,mastercard,5000.0,Anybody,0.2,10000000000,"from RM1 up to RM1,499 monthly",grab,1.0,1499.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a00008f/citi-cash-back-platinum-mastercard.jpg,citibank,citi_cash_back_platinum_mastercard,mastercard,5000.0,Anybody,0.2,10000000000,any amount monthly,other retail spends,0.0,,False,True,False
https://ringgitplus.com/img/card-400/588ffbba58ee29f075029557/citi-simplicity-mastercard.jpg,citibank,citi_simplicity_mastercard®,,2000.0,Anybody,10.0,10000000000,any amount monthly,interest back,0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e1/hsbc-amanah-mpower-platinum-credit-card-i.jpg,hsbc,hsbc_amanah_mpower_platinum_credit_card_i,,3000.0,Anybody,1.0,15,"up to RM2,000 monthly",petrol,0.0,2000.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e1/hsbc-amanah-mpower-platinum-credit-card-i.jpg,hsbc,hsbc_amanah_mpower_platinum_credit_card_i,,3000.0,Anybody,1.0,15,"up to RM2,000 monthly",groceries,0.0,2000.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e1/hsbc-amanah-mpower-platinum-credit-card-i.jpg,hsbc,hsbc_amanah_mpower_platinum_credit_card_i,,3000.0,Anybody,1.0,15,"up to RM2,000 monthly",ewallets,0.0,2000.0,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e1/hsbc-amanah-mpower-platinum-credit-card-i.jpg,hsbc,hsbc_amanah_mpower_platinum_credit_card_i,,3000.0,Anybody,0.2,10000000000,any amount monthly,all local and overseas retail spends,0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000d9/hong-leong-wise-gold.jpg,hong_leong_bank,hong_leong_wise_gold,,2000.0,Anybody,1.0,18,from RM500 and above monthly,petrol,500.0,,False,True,False
