url,img,bank,card_name,card_name_original,card_type,card_feature_description,card_benefit_description,cost_interest_rate_annum,cost_annual_fee,cost_annual_fee_condition,required_income,required_age,required_applicant,cashback,cashback_category,cashback_info,reward,reward_category,reward_info,travel_benefit,travel_benefit_category,travel_benefit_info,premium,premium_info,petrol,petrol_info
https://ringgitplus.com/en/credit-card/Hong-Leong-Emirates-HLB-World-Card.html,https://ringgitplus.com/img/card-400/5d8c3db729b550c865d2afff/hong-leong-emirates-hlb-world-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_card,Hong Leong Emirates HLB World Card,,,,15% p.a.,RM800,not_free,7500.0,,Anybody,False,,,True,"{""2 points on every RM4"": [""for Emirates transaction""], ""1.5 points on every RM4"": [""for overseas transaction""], ""1 point on every RM4"": [""for local transaction""]}","Earn 75,000 Skywards Miles + 5,000 Skywards Miles (Anniversary Bonus) when you spend RM200,000 in a year. Get extra 5,000 Skywards Miles as Welcome Bonus for your first retail transaction (within 45 days from the card approval date).",True,"{""Personal Accident"": [""Up to RM85,000""], ""Travel Insurance"": [""Up to RM3,000,000""], ""Delayed Flight"": [""Up to RM24,000""], ""Missed Flight"": [""Up to RM24,000""], ""Lost Luggage"": [""Up to RM24,000""], ""Delayed Luggage"": [""Up to RM24,000""]}","Get Skyward Miles Welcome Bonus and Anniversary Bonus of 5,000 Miles each. Enjoy free economy class flight to Europe, 2x Emirates KLIA lounge access and overseas medical, travel & retail insurance.",True,"Free golf privileges, airport transfer, airport lounges membership, WiFi and travel & lifestyle services worldwide.",False,
https://ringgitplus.com/en/credit-card/Hong-Leong-Emirates-HLB-World-Elite-Card.html,https://ringgitplus.com/img/card-400/5d8c31bc29b550c865d2aff8/hong-leong-emirates-hlb-world-elite-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_elite_card,Hong Leong Emirates HLB World Elite Card,,,,15% p.a.,"RM1,800",not_free,20833.33,,Anybody,False,,,True,"{""2.5 points on every RM4"": [""for Emirates transaction""], ""1.75 points on every RM4"": [""for overseas transaction""], ""1 point on every RM4"": [""for local transaction""]}","Earn 150,000 Skywards Miles (equivalent to return business class flight to Europe) + 10,000 Skywards Miles (Anniversary Bonus) when you spend RM300,000 in a year. Get extra 10,000 Skywards Miles as Welcome Bonus for your first retail transaction (within 45 days from the card approval date).",True,"{""Personal Accident"": [""Up to RM2,000,000""], ""Travel Insurance"": [""Up to RM2,000,000""], ""Delayed Flight"": [""Up to RM30,000""], ""Missed Flight"": [""Up to RM30,000""], ""Lost Luggage"": [""Up to RM30,000""], ""Delayed Luggage"": [""Up to RM30,000""]}","Get Skyward Miles Welcome Bonus and Anniversary Bonus of 10,000 Miles each. Enjoy complimentary 4x of Emirates KLIA Lounge Access, airport transfer, overseas medical & travel insurance and automatic purchase protection.",True,"Complimentary golf privileges, airport lounges membership, limo and WiFi services worldwide.",False,
https://ringgitplus.com/en/credit-card/Hong-Leong-Visa-Infinite-Doctors-Edition.html,https://ringgitplus.com/img/card-400/5dd64321746d443b4aeae1ed/hong-leong-visa-infinite-doctors-edition.jpg,hong_leong_bank,hong_leong_visa_infinite_doctor's_edition,Hong Leong Visa Infinite Doctor's Edition,visa,,,15% p.a.,0,free,4000.0,,Registered Medical Doctors and Dentists,False,,,True,"{""5 points on every RM14"": [""on local retail spends""], ""5 points on every RM9"": [""on overseas retail spends""]}",Earn 1 MAS Enrich Miles for every RM2.80 local or RM1.80 overseas retail spend. Collect as much air miles you need to bump into the first class cabin as there is no expiry date for this reward points.,True,"{""Personal Accident"": [""Up to RM3,000,000""], ""Travel Insurance"": [""Up to RM3,000,000""], ""Delayed Flight"": [""Up to RM2,000""], ""Missed Flight"": [""Up to RM2,000""], ""Lost Luggage"": [""Up to RM8,000""], ""Delayed Luggage"": [""Up to RM4,000""]}","Doctors, enjoy 4x complimentary access to Plaza Premium Airport Lounges in Malaysia and Singapore! Your travel insurance for up to RM3 million is covered by the bank.",True,"Your personalised ""doctor-on-call"" service via Visa Digital Concierge for all your travel and lifestyle demands, anytime and anywhere in the world.",False,
https://ringgitplus.com/en/credit-card/The-Store-Pacific-Hong-Leong-Gold-MasterCard.html,https://ringgitplus.com/img/card-400/519489e2193821ed4a0000c1/the-store-pacific-hong-leong-gold-mastercard.jpg,hong_leong_bank,the_store_pacific_hong_leong_gold_mastercard,The Store Pacific Hong Leong Gold MasterCard,mastercard,,,15% p.a.,0,free*,2000.0,,Anybody,True,"{""The Store and Pacific"": [""6%"", ""RM30"", ""from RM1,501 and above monthly""], ""Other Retail"": [""0.5%"", ""uncapped"", ""from RM1 and above in a single receipt""]}","Earn up to 6% cashback at The Store and Pacific, capped at RM30 per month. 0.5% uncapped cashback on any other retail purchases.",False,,,True,"{""Travel Insurance"": [""Up to RM750,000""], ""Delayed Flight"": [""Up to RM600""], ""Missed Flight"": [""Up to RM600""], ""Lost Luggage"": [""Up to RM1,500""], ""Delayed Luggage"": [""Up to RM600""]}",Travel with peace of mind with the Hong Leong Travel Protection Plan. Just charge your holiday tickets to your credit card and enjoy complimentary coverage.,False,,False,
https://ringgitplus.com/en/credit-card/ICBC-Visa-Platinum.html,https://ringgitplus.com/img/card-400/52cbc69a8dbd98902100116c/icbc-visa-platinum.jpg,icbc,icbc_visa_platinum,ICBC Visa Platinum,visa,,,13.5% p.a.,0,free*,8333.33,,Malaysians Only,False,,,True,"{""1 point on every RM1"": [""on all local expenses""]}",Every Ringgit you charge to your ICBC credit card earns you one Bonus Point. You will also get 1x Bonus Point for every RMB2 retail spend. Accumulate them to redeem attractive rewards!,True,,Free Global Travel and Purchase Protection.,False,,False,
https://ringgitplus.com/en/credit-card/ICBC-Visa-Gold.html,https://ringgitplus.com/img/card-400/52cbb612725695036c001b38/icbc-visa-gold.jpg,icbc,icbc_visa_gold,ICBC Visa Gold,visa,,,13.5% p.a.,0,free*,4000.0,,Malaysians Only,False,,,True,"{""1 point on every RM1"": [""on all local retail transaction""]}","Every Ringgit and RMB2 you charge with this ICBC credit card lets you earn reward points, allowing you to redeem a wide selection of prizes. The rewards points will be with you for life with no expiry date!",False,,,False,,False,
https://ringgitplus.com/en/credit-card/ICBC-UnionPay-Dual-Currency-Platinum.html,https://ringgitplus.com/img/card-400/52ca8ca40a0eabfd19003ff1/icbc-unionpay-dual-currency-platinum.jpg,icbc,icbc_unionpay_dual_currency_platinum,ICBC UnionPay Dual Currency Platinum,unionpay,,,13.5% p.a.,0,free*,8333.33,,Malaysian and Chinese citizens only,False,,,True,"{""1 point on every RM1"": [""on all retail expenses""]}",Get 1 reward point for every RM1 or 2 RMB you spend in Malaysia and China respectively.,True,,"Comprehensive Travel Protection providing you with a China Medical Card, Global travel and Global purchase protection. You also get to enjoy premier service at selected airport lounges when traveling in China.",False,,False,
https://ringgitplus.com/en/credit-card/ICBC-UnionPay-Dual-Currency-Gold.html,https://ringgitplus.com/img/card-400/52ca7d3b974308c97300470a/icbc-unionpay-dual-currency-gold.jpg,icbc,icbc_unionpay_dual_currency_gold,ICBC UnionPay Dual Currency Gold,unionpay,,,13.5% p.a.,0,free*,4000.0,,Malaysian and Chinese citizens only,False,,,True,"{""1 point on every RM1"": [""on all retail expenses""]}",Earn 1 bonus point for every 1 Ringgit or 2 Renminbi charged to your credit card. Use them to redeem amazing gifts and rewards. The reward points you earned will never expire!,False,,,True,"ICBC wins out by sheer size and acceptance - a massive network with more than 2 million accepted outlets, 3 million Point Of Sale terminals and close to 300 thousand ATMs all around China, truly an international bank.",False,
https://ringgitplus.com/en/credit-card/ICBC-UnionPay-Dual-Currency-Classic.html,https://ringgitplus.com/img/card-400/52ca7134974308c9730027f7/icbc-unionpay-dual-currency-classic.jpg,icbc,icbc_unionpay_dual_currency_classic,ICBC UnionPay Dual Currency Classic,unionpay,,,13.5% p.a.,0,free*,2000.0,,Malaysian and Chinese citizens only,False,,,True,"{""1 point on every RM1"": [""on all local retail expenses""]}",Earn 1 reward point for every 1 Ringgit or 2 Chinese Yuen you charge to your credit card and redeem amazing prizes. There's no expiry date on your reward points!,False,,,True,"This ICBC UnionPay Dual Currency credit card can be used at more than 2 million merchants, over 3 million POS terminals and nearly 300 thousand ATM across China. It is also accepted in over 100 countries.",False,
https://ringgitplus.com/en/credit-card/ICBC-Visa-Classic.html,https://ringgitplus.com/img/card-400/52cbb079725695036c0009ec/icbc-visa-classic.jpg,icbc,icbc_visa_classic,ICBC Visa Classic,visa,,,13.5% p.a.,0,free*,2000.0,,Malaysians Only,False,,,True,"{""1 point on every RM1"": [""on all local retail expenses""]}",Every Ringgit and RMB2 you charge to this credit card earns you 1 bonus point that you can redeem for a wide selection of attractive rewards. Your hard-earned reward points will never expire!,False,,,False,,False,
